Sample ID,Prep Set,Prep Order,neg20 Group,Gilson Group,Lysis Group,Aliquot,Extraction,Pre-Digest BCA,Digest,Post-Digest SPE,Post-Digest BCA,Channel Order,TMT Set,Label Date,Vac Group,TMT Label Date,HpH Fractionation
CT46_2,1,2,1,1,1,1,1,1,1,1,1,2,12,2,2,2,3
CT42_1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
CT12_3,1,6,1,1,1,1,1,1,1,1,1,2,19,3,4,3,6
CT00_3,1,7,1,1,1,1,1,1,1,1,1,2,15,2,3,2,5
CT24_1,1,9,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1
CT02_3,1,10,1,1,1,1,1,1,1,1,1,8,17,3,4,3,5
CT24_2,2,1,1,1,1,1,1,1,1,1,1,4,12,2,2,2,3
CT02_1,2,3,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1
CT26_3,2,7,1,1,1,1,1,1,1,1,1,6,17,3,4,3,5
CT04_2,2,10,1,1,1,1,1,1,1,1,1,8,7,2,2,2,2
CT12_2,3,1,2,2,2,1,2,1,1,2,2,8,11,2,2,2,3
CT42_3,3,2,2,2,2,1,2,1,1,2,2,8,15,2,3,2,5
CT12_1,3,4,2,2,2,1,2,1,1,2,2,4,2,1,1,1,1
CT48_1,3,6,2,2,2,1,2,1,1,2,2,8,3,1,1,1,1
CT06_1,3,7,2,2,2,1,2,1,1,2,2,4,5,1,1,1,1
CT16_3,3,8,2,2,2,1,2,1,1,2,2,2,17,3,4,3,5
CT46_3,3,9,2,2,2,1,2,1,1,2,2,8,14,2,3,2,5
CT08_3,3,10,2,2,2,1,2,1,1,2,2,8,13,2,3,2,4
CT40_2,4,1,2,2,2,1,2,1,1,2,2,8,9,2,2,2,3
CT14_2,4,2,2,2,2,1,2,1,1,2,2,4,9,2,2,2,3
CT10_1,4,4,2,2,2,1,2,1,1,2,2,4,1,1,1,1,1
CT30_2,4,10,2,2,2,1,2,1,1,2,2,2,8,2,2,2,3
CT34_1,5,3,2,3,2,1,2,1,1,3,3,8,5,1,1,1,1
CT22_3,5,6,2,3,2,1,2,1,1,3,3,6,15,2,3,2,5
CT22_2,5,7,2,3,2,1,2,1,1,3,3,4,13,2,3,2,4
CT06_2,5,9,2,3,2,1,2,1,1,3,3,6,11,2,2,2,3
CT42_2,6,2,2,3,2,2,2,2,2,3,3,6,8,2,2,2,3
CT26_2,6,5,2,3,2,2,2,2,2,3,3,2,9,2,2,2,3
CT10_3,6,6,2,3,2,2,2,2,2,3,3,2,16,3,4,3,5
CT04_1,6,7,2,3,2,2,2,2,2,3,3,6,1,1,1,1,1
CT24_3,6,8,2,3,2,2,2,2,2,3,3,6,16,3,4,3,5
