Sample ID,Prep Set,Prep Order,neg20 Group,Gilson Group,Lysis Group,Aliquot,Extraction,Pre-Digest BCA,Digest,Post-Digest SPE,Post-Digest BCA,Channel Order,TMT Set,Label Date,Vac Group,TMT Label Date,HpH Fractionation
CT28_3,1,1,1,1,1,1,1,1,1,1,1,7,18,3,4,3,6
CT04_3,1,3,1,1,1,1,1,1,1,1,1,3,17,3,4,3,5
CT24_1,1,5,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1
CT32_2,1,8,1,1,1,1,1,1,1,1,1,7,8,2,2,2,3
CT16_2,2,2,1,1,1,1,1,1,1,1,1,5,12,2,2,2,3
CT40_1,2,4,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1
CT22_1,2,5,1,1,1,1,1,1,1,1,1,1,7,2,2,2,2
CT18_2,2,6,1,1,1,1,1,1,1,1,1,1,13,2,3,2,4
CT04_2,2,8,1,1,1,1,1,1,1,1,1,7,7,2,2,2,2
CT10_3,2,9,1,1,1,1,1,1,1,1,1,1,16,3,4,3,5
CT26_2,3,3,2,2,2,1,2,1,1,2,2,1,9,2,2,2,3
CT42_3,3,5,2,2,2,1,2,1,1,2,2,7,15,2,3,2,5
CT46_2,4,3,2,2,2,1,2,1,1,2,2,1,12,2,2,2,3
CT16_3,4,5,2,2,2,1,2,1,1,2,2,1,17,3,4,3,5
CT00_3,4,6,2,2,2,1,2,1,1,2,2,1,15,2,3,2,5
CT14_2,4,7,2,2,2,1,2,1,1,2,2,3,9,2,2,2,3
CT30_3,4,8,2,2,2,1,2,1,1,2,2,3,19,3,4,3,6
CT06_3,4,9,2,2,2,1,2,1,1,2,2,1,14,2,3,2,5
CT20_3,5,1,2,3,2,1,2,1,1,3,3,5,18,3,4,3,6
CT12_3,5,2,2,3,2,1,2,1,1,3,3,1,19,3,4,3,6
CT08_1,5,4,2,3,2,1,2,1,1,3,3,3,3,1,1,1,1
CT30_1,5,5,2,3,2,1,2,1,1,3,3,7,1,1,1,1,1
CT18_3,5,8,2,3,2,1,2,1,1,3,3,3,14,2,3,2,5
CT44_3,5,10,2,3,2,1,2,1,1,3,3,3,18,3,4,3,6
CT48_3,6,1,2,3,2,2,2,2,2,3,3,5,19,3,4,3,6
CT14_1,6,3,2,3,2,2,2,2,2,3,3,1,3,1,1,1,1
CT12_2,6,4,2,3,2,2,2,2,2,3,3,7,11,2,2,2,3
CT02_1,7,1,2,4,3,2,2,2,2,4,4,1,5,1,1,1,1
CT02_3,7,4,2,4,3,2,2,2,2,4,4,7,17,3,4,3,5
CT36_2,7,6,2,4,3,2,2,2,2,4,4,3,10,2,2,2,3
CT02_2,7,7,2,4,3,2,2,2,2,4,4,3,11,2,2,2,3
CT48_1,8,1,2,4,3,3,2,2,2,4,4,7,3,1,1,1,1
CT32_1,8,2,2,4,3,3,2,2,2,4,4,5,2,1,1,1,1
CT16_1,8,3,2,4,3,3,2,2,2,4,4,3,6,1,1,1,1
CT08_2,8,5,2,4,3,3,2,2,2,4,4,5,9,2,2,2,3
CT04_1,8,9,2,4,3,3,2,2,2,4,4,5,1,1,1,1,1
CT34_2,9,1,3,4,4,3,3,2,2,4,4,3,7,2,2,2,2
CT44_1,9,2,3,4,4,3,3,2,2,4,4,7,4,1,1,1,1
CT42_2,9,3,3,4,4,3,3,2,2,4,4,5,8,2,2,2,3
CT46_3,9,6,3,4,4,3,3,2,2,4,4,7,14,2,3,2,5
CT22_3,9,9,3,4,4,3,3,2,2,4,4,5,15,2,3,2,5
CT26_1,9,10,3,4,4,3,3,2,2,4,4,7,2,1,1,1,1
CT14_3,10,1,3,4,4,3,3,2,2,4,4,7,16,3,4,3,5
CT28_2,10,2,3,4,4,3,3,2,2,4,4,5,10,2,2,2,3
CT42_1,10,6,3,4,4,3,3,2,2,4,4,1,1,1,1,1,1
CT36_1,10,8,3,4,4,3,3,2,2,4,4,1,4,1,1,1,1
